county,date,vaccines_started,vaccines_completed
Auglaize,2020-12-31,13,0
Auglaize,2021-01-01,1,0
Auglaize,2021-01-02,1,0
Auglaize,2021-01-03,0,0
Auglaize,2021-01-04,56,0
Auglaize,2021-01-05,19,1
Auglaize,2021-01-06,90,0
Auglaize,2021-01-07,65,0
Auglaize,2021-01-08,116,0
Auglaize,2021-01-09,35,0
Auglaize,2021-01-10,1,0
Auglaize,2021-01-11,314,14
Auglaize,2021-01-12,33,16
Auglaize,2021-01-13,71,5
Auglaize,2021-01-14,100,4
Auglaize,2021-01-15,77,0
Auglaize,2021-01-16,9,1
Auglaize,2021-01-17,32,0
Auglaize,2021-01-18,25,27
Auglaize,2021-01-19,66,74
Auglaize,2021-01-20,192,55
Auglaize,2021-01-21,291,21
Auglaize,2021-01-22,188,12
Auglaize,2021-01-23,4,0
Auglaize,2021-01-24,14,1
Auglaize,2021-01-25,175,55
Auglaize,2021-01-26,32,45
Auglaize,2021-01-27,96,112
Auglaize,2021-01-28,130,36
Auglaize,2021-01-29,180,90
Auglaize,2021-01-30,18,0
Auglaize,2021-01-31,3,0
Auglaize,2021-02-01,234,224
Auglaize,2021-02-02,43,106
Auglaize,2021-02-03,159,48
Auglaize,2021-02-04,80,78
Auglaize,2021-02-05,198,68
Auglaize,2021-02-06,25,48
Auglaize,2021-02-07,24,30
Auglaize,2021-02-08,87,78
Auglaize,2021-02-09,52,34
Auglaize,2021-02-10,138,125
Auglaize,2021-02-11,76,68
Auglaize,2021-02-12,166,114
Auglaize,2021-02-13,48,1
Auglaize,2021-02-14,7,3
Auglaize,2021-02-15,57,49
Auglaize,2021-02-16,18,9
Auglaize,2021-02-17,102,99
Auglaize,2021-02-18,25,271
Auglaize,2021-02-19,103,219
Auglaize,2021-02-20,7,6
Auglaize,2021-02-21,3,14
Auglaize,2021-02-22,41,263
Auglaize,2021-02-23,137,57
Auglaize,2021-02-24,220,154
Auglaize,2021-02-25,114,143
Auglaize,2021-02-26,530,197
Auglaize,2021-02-27,201,33
Auglaize,2021-02-28,11,31
Auglaize,2021-03-01,134,87
Auglaize,2021-03-02,144,34
Auglaize,2021-03-03,171,144
Auglaize,2021-03-04,237,152
Auglaize,2021-03-05,135,107
Auglaize,2021-03-06,254,241
Belmont,2020-12-14,0,0
Belmont,2020-12-15,1,0
Belmont,2020-12-16,2,0
Belmont,2020-12-17,0,0
Belmont,2020-12-18,1,0
Belmont,2020-12-19,0,0
Belmont,2020-12-20,0,0
Belmont,2020-12-21,3,0
Belmont,2020-12-22,18,0
Belmont,2020-12-23,30,0
Belmont,2020-12-24,22,0
Belmont,2020-12-25,1,0
Belmont,2020-12-26,76,0
Belmont,2020-12-27,25,0
Belmont,2020-12-28,75,0
Belmont,2020-12-29,112,0
Belmont,2020-12-30,95,0
Belmont,2020-12-31,40,0
Belmont,2021-01-01,0,0
Belmont,2021-01-02,0,0
Belmont,2021-01-03,74,0
Belmont,2021-01-04,100,1
Belmont,2021-01-05,22,1
Belmont,2021-01-06,105,1
Belmont,2021-01-07,121,1
Belmont,2021-01-08,130,4
Belmont,2021-01-09,1,0
Belmont,2021-01-10,0,0
Belmont,2021-01-11,13,2
Belmont,2021-01-12,104,4
Belmont,2021-01-13,295,4
Belmont,2021-01-14,135,22
Belmont,2021-01-15,216,1
Belmont,2021-01-16,11,44
Belmont,2021-01-17,24,32
Belmont,2021-01-18,7,3
Belmont,2021-01-19,19,5
Belmont,2021-01-20,81,15
Belmont,2021-01-21,444,72
Belmont,2021-01-22,244,16
Belmont,2021-01-23,26,0
Belmont,2021-01-24,20,2
Belmont,2021-01-25,65,63
Belmont,2021-01-26,66,132
Belmont,2021-01-27,88,80
Belmont,2021-01-28,362,93
Belmont,2021-01-29,280,18
Belmont,2021-01-30,33,0
Belmont,2021-01-31,30,0
Belmont,2021-02-01,85,17
Belmont,2021-02-02,68,16
Belmont,2021-02-03,417,15
Belmont,2021-02-04,112,61
Belmont,2021-02-05,160,155
Belmont,2021-02-06,19,23
Belmont,2021-02-07,45,42
Belmont,2021-02-08,42,66
Belmont,2021-02-09,73,55
Belmont,2021-02-10,80,203
Belmont,2021-02-11,265,321
Belmont,2021-02-12,179,293
Belmont,2021-02-13,34,2
Belmont,2021-02-14,32,0
Belmont,2021-02-15,55,23
Belmont,2021-02-16,66,101
Belmont,2021-02-17,343,302
Belmont,2021-02-18,45,112
Belmont,2021-02-19,66,107
Belmont,2021-02-20,15,207
Belmont,2021-02-21,2,27
Belmont,2021-02-22,34,86
Belmont,2021-02-23,138,67
Belmont,2021-02-24,716,87
Belmont,2021-02-25,275,113
Belmont,2021-02-26,148,243
Belmont,2021-02-27,35,52
Belmont,2021-02-28,55,19
Belmont,2021-03-01,75,54
Belmont,2021-03-02,122,145
Belmont,2021-03-03,212,130
Belmont,2021-03-04,169,159
Belmont,2021-03-05,183,183
Belmont,2021-03-06,5,8
Brown ,2020-12-14,0,0
Brown ,2020-12-15,0,0
Brown ,2020-12-16,1,0
Brown ,2020-12-17,2,0
Brown ,2020-12-18,56,0
Brown ,2020-12-19,22,0
Brown ,2020-12-20,0,0
Brown ,2020-12-21,0,0
Brown ,2020-12-22,28,0
Brown ,2020-12-23,60,0
Brown ,2020-12-24,13,0
Brown ,2020-12-25,1,0
Brown ,2020-12-26,15,0
Brown ,2020-12-27,33,0
Brown ,2020-12-28,74,0
Brown ,2020-12-29,61,0
Brown ,2020-12-30,69,0
Brown ,2020-12-31,26,0
Brown ,2021-01-01,0,0
Brown ,2021-01-02,10,0
Brown ,2021-01-03,0,0
Brown ,2021-01-04,42,0
Brown ,2021-01-05,23,0
Brown ,2021-01-06,133,2
Brown ,2021-01-07,35,2
Brown ,2021-01-08,99,63
Brown ,2021-01-09,2,0
Brown ,2021-01-10,0,0
