date,state_abbreviation,state_name,state_population,doses_distributed_cumulative,doses_administered_cumulative,new_doses_distributed,new_doses_administered,new_doses_distributed_7_day_avg,new_doses_administered_7_day_avg,percent_doses_administered,percent_doses_administered_7_day_avg
2021-04-13,WV,West Virginia,1792147,1441365,1030506,55150,4877,27830.00,11941.14,71,43
2021-04-12,KY,Kentucky,4467673,3130125,2587355,0,15383,63837.14,56425.00,83,88
2021-04-12,OH,Ohio,11689100,8322065,6713753,0,253153,151665.71,168860.29,81,111
2021-04-12,WV,West Virginia,1792147,1386215,1025629,0,790,30692.86,14354.71,74,47
2021-04-11,KY,Kentucky,4467673,3130125,2571972,55530,100829,74631.43,61289.57,82,82
2021-04-11,OH,Ohio,11689100,8322065,6460600,111350,152299,161041.43,151419.43,78,94
2021-04-11,WV,West Virginia,1792147,1386215,1024839,55590,29665,33401.43,18350.14,74,55
2021-04-10,KY,Kentucky,4467673,3074595,2471143,0,0,66698.57,46885.43,80,70
2021-04-10,OH,Ohio,11689100,8210715,6308301,0,0,145134.29,129662.43,77,89
2021-04-10,WV,West Virginia,1792147,1330625,995174,0,0,25460.00,14112.29,75,55
2021-04-09,KY,Kentucky,4467673,3074595,2471143,35020,56183,71792.86,52965.14,80,74
2021-04-09,OH,Ohio,11689100,8210715,6308301,55490,150452,184198.57,144672.71,77,79
2021-04-09,WV,West Virginia,1792147,1330625,995174,15350,21167,27745.71,17245.00,75,62
2021-04-08,KY,Kentucky,4467673,3039575,2414960,68660,46400,68540.00,48573.14,79,71
2021-04-08,OH,Ohio,11689100,8155225,6157849,218560,129124,193918.57,134090.29,76,69
2021-04-08,WV,West Virginia,1792147,1315275,974007,8300,15004,26562.86,15424.29,74,58
2021-04-07,KY,Kentucky,4467673,2970915,2368560,15880,34779,85648.57,44258.14,80,52
2021-04-07,OH,Ohio,11689100,7936665,6028725,214670,85070,221381.43,122943.57,76,56
2021-04-07,WV,West Virginia,1792147,1306975,959003,2400,6981,34191.43,14471.71,73,42
2021-04-06,KY,Kentucky,4467673,2955035,2333781,223290,6323,83380.00,44935.29,79,54
2021-04-06,OH,Ohio,11689100,7721995,5943655,311870,42345,190714.29,124133.71,77,65
2021-04-06,WV,West Virginia,1792147,1304575,952022,58020,5104,33848.57,13585.86,73,40
2021-04-05,KY,Kentucky,4467673,2731745,2327458,48480,135078,60244.29,57550.86,85,96
2021-04-05,OH,Ohio,11689100,7410125,5901310,149720,369579,165717.14,156525.14,80,94
2021-04-05,WV,West Virginia,1792147,1246555,946918,75190,21772,34100.00,18232.86,76,53
2021-04-04,KY,Kentucky,4467673,2683265,2192380,0,0,44555.71,24735.14,82,56
2021-04-04,OH,Ohio,11689100,7260405,5531731,0,0,124772.86,65287.43,76,52
2021-04-04,WV,West Virginia,1792147,1171365,925146,0,0,14818.57,9746.43,79,66
2021-04-03,KY,Kentucky,4467673,2683265,2192380,0,0,53318.57,38254.00,82,72
2021-04-03,OH,Ohio,11689100,7260405,5531731,0,0,144328.57,103728.14,76,72
2021-04-03,WV,West Virginia,1792147,1171365,925146,0,0,23358.57,15122.57,79,65
2021-04-02,KY,Kentucky,4467673,2683265,2192380,75560,49435,60618.57,45110.00,82,74
2021-04-02,OH,Ohio,11689100,7260405,5531731,65630,131067,152814.29,121758.86,76,80
2021-04-02,WV,West Virginia,1792147,1171365,925146,18960,28758,23458.57,18799.14,79,80
2021-04-01,KY,Kentucky,4467673,2607705,2142945,35660,42558,54238.57,43479.29,82,80
2021-04-01,OH,Ohio,11689100,7194775,5400664,273450,105072,190992.86,116928.71,75,61
2021-04-01,WV,West Virginia,1792147,1152405,896388,16000,21929,22792.86,16921.00,78,74
2021-03-31,KY,Kentucky,4467673,2572045,2100387,12250,25439,51035.71,40943.00,82,80
2021-03-31,OH,Ohio,11689100,6921325,5295592,123530,76375,156174.29,113682.57,77,73
2021-03-31,WV,West Virginia,1792147,1136405,874459,7070,8422,20521.43,15014.43,77,73
2021-03-30,KY,Kentucky,4467673,2559795,2074948,188420,16195,69587.14,39620.43,81,57
2021-03-30,OH,Ohio,11689100,6797795,5219217,410800,51097,179571.43,110313.86,77,61
2021-03-30,WV,West Virginia,1792147,1129335,866037,61700,8336,27117.14,14447.71,77,53
2021-03-29,KY,Kentucky,4467673,2371375,2058753,0,39519,42670.00,42286.86,87,99
2021-03-29,OH,Ohio,11689100,6386995,5168120,0,93401,120885.71,114801.00,81,95
2021-03-29,WV,West Virginia,1792147,1067635,857701,0,780,18302.86,13440.29,80,73
2021-03-28,KY,Kentucky,4467673,2371375,2019234,61340,94632,49794.29,50158.43,85,101
2021-03-28,OH,Ohio,11689100,6386995,5074719,136890,269085,138690.00,135746.71,79,98
2021-03-28,WV,West Virginia,1792147,1067635,856921,59780,37633,25908.57,17784.00,80,69
2021-03-27,KY,Kentucky,4467673,2310035,1924602,0,0,41031.43,36639.57,83,89
2021-03-27,OH,Ohio,11689100,6250105,4805634,0,0,119134.29,97306.00,77,82
2021-03-27,WV,West Virginia,1792147,1007855,819288,0,0,17368.57,12407.86,81,71
2021-03-26,KY,Kentucky,4467673,2310035,1924602,51100,47992,44284.29,43583.57,83,98
2021-03-26,OH,Ohio,11689100,6250105,4805634,59400,126215,128021.43,112428.57,77,88
2021-03-26,WV,West Virginia,1792147,1007855,819288,700,25736,18297.14,15645.43,81,86
2021-03-25,KY,Kentucky,4467673,2258935,1876610,30900,38020,43682.86,42043.57,83,96
